month,iMSE,iMAE,iMAPE,iMAPE_ad,coverage,n_windows
2024-08,7247.63525390625,66.88883209228516,71.2801742553711,30.177583694458008,0.19791666666666666,1
2024-09,17896.103515625,107.5107192993164,1036513024.0,157.50840759277344,0.15625,1
2024-10,1773.6231689453125,34.06208419799805,9.984150886535645,10.164844512939453,0.3541666666666667,1
2024-11,12494.8916015625,78.25932312011719,330227488.0,70.81954193115234,0.13541666666666666,1
2024-12,6894.39453125,72.39054107666016,155.74961853027344,52.0726203918457,0.041666666666666664,1
2025-01,25778.546875,129.73289489746094,1096884864.0,65.95924377441406,0.010416666666666666,1
2025-02,110152.3125,183.6898651123047,21.571533203125,27.245088577270508,0.2916666666666667,1
2025-03,10061.3916015625,87.76715087890625,101676832.0,59.419673919677734,0.08333333333333333,1
2025-04,3071.575439453125,35.55215835571289,575140224.0,81.53169250488281,0.13541666666666666,1
2025-05,638.069580078125,20.59076499938965,7.089086532592773,6.736401557922363,0.1875,1
2025-06,8767.8134765625,73.02457427978516,33.49321365356445,48.74571228027344,0.0625,1
2025-07,5775.14599609375,65.06967163085938,20.61690902709961,24.105886459350586,0.020833333333333332,1
